,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23,hour 24
01/04/2023,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00
02/04/2023,0.05,-0.01,-0.16,0.11,0.03,0.01,0.12,-0.17,0.00,1.00,0.00,0.00,-1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00
03/04/2023,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00
04/04/2023,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00
05/04/2023,0.00,0.00,1.00,0.00,1.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/04/2023,0.00,0.00,1.00,0.00,1.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.08,-0.16,-0.01,0.00,0.00,0.00,0.00
07/04/2023,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08/04/2023,0.16,-0.14,0.01,-0.03,0.07,-0.10,0.10,-0.07,-0.04,-0.09,-0.03,0.17,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00,0.00
09/04/2023,0.12,-0.14,-0.03,0.05,-0.05,-0.07,-0.05,0.17,-0.02,0.17,-0.12,-0.03,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00
10/04/2023,-0.03,0.08,0.09,-0.13,0.01,-0.17,0.11,0.05,0.01,-0.17,0.05,0.11,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00
11/04/2023,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.03,0.06,0.08,-0.17,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00
12/04/2023,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00
13/04/2023,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.08,0.06,-0.17,0.02,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00
14/04/2023,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00
15/04/2023,-0.05,-0.02,-0.09,0.17,0.06,0.11,-0.07,-0.10,-0.04,-0.07,-0.05,0.17,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00
16/04/2023,0.06,0.10,-0.04,-0.13,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00
17/04/2023,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,-0.17,0.12,0.01,0.04,0.08,0.05,0.04,-0.17
18/04/2023,0.03,-0.12,-0.04,0.14,-0.16,-0.01,0.07,0.09,0.06,-0.05,0.11,-0.11,0.04,-0.15,-0.02,0.13,0.05,0.12,-0.12,-0.04,-0.10,-0.07,0.08,0.09
19/04/2023,-0.01,-0.05,-0.11,0.17,-0.07,-0.03,-0.07,0.17,-0.01,0.10,0.07,-0.16,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00,0.00
20/04/2023,0.06,0.04,0.06,-0.17,-0.04,0.06,0.11,-0.13,-0.07,-0.07,0.17,-0.02,0.08,0.00,0.08,-0.17,0.01,0.08,0.08,-0.17,-0.07,-0.09,0.01,0.16
21/04/2023,0.10,-0.08,0.07,-0.08,-0.02,0.10,-0.15,0.06,0.09,-0.04,-0.13,0.08,0.00,1.00,0.00,1.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00,0.00
22/04/2023,0.10,-0.08,0.07,-0.09,0.00,0.00,0.00,0.00,0.07,-0.11,0.09,-0.06,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00,0.00
23/04/2023,-0.13,0.15,0.01,-0.04,-0.03,-0.14,-0.01,0.17,-0.05,-0.07,-0.04,0.17,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00
24/04/2023,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.02,-0.04,0.14,-0.13,0.06,-0.08,-0.09,0.11,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00
25/04/2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.17,0.00,0.01,0.16,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00
26/04/2023,-0.12,-0.04,0.15,0.01,-0.10,0.17,-0.02,-0.05,-0.11,-0.06,0.01,0.16,0.04,0.10,0.02,-0.17,0.05,0.11,-0.09,-0.08,-0.07,-0.10,0.09,0.08
27/04/2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00
28/04/2023,0.00,0.00,1.00,-1.00,1.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29/04/2023,-0.04,-0.05,-0.08,0.17,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00
30/04/2023,0.07,-0.05,-0.12,0.10,-0.11,0.14,-0.05,0.03,-0.06,-0.07,-0.04,0.17,0.00,1.00,0.00,1.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00,0.00
01/05/2023,-0.08,0.13,-0.09,0.03,-0.08,-0.09,0.07,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,-1.00,-1.00,0.00,0.00
02/05/2023,0.04,0.08,-0.17,0.05,-0.07,0.07,-0.09,0.10,-0.12,0.06,0.10,-0.04,0.03,-0.07,-0.09,0.14,0.11,-0.03,-0.14,0.06,-0.04,-0.05,-0.07,0.17
03/05/2023,-0.09,0.00,-0.08,0.16,-0.07,0.07,-0.10,0.10,-0.11,0.17,0.00,-0.05,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00
04/05/2023,0.00,0.00,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00
05/05/2023,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,1.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/05/2023,-0.07,-0.10,0.13,0.04,-0.01,0.06,-0.15,0.11,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,-1.00,0.00,0.00,-1.00,0.00,0.00
07/05/2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.08,0.08,0.09,-0.09,1.00,1.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00,0.00
08/05/2023,-0.01,-0.13,-0.03,0.17,0.07,0.04,0.05,-0.17,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00,0.00
09/05/2023,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00
10/05/2023,0.11,0.06,-0.07,-0.10,-0.07,0.05,-0.10,0.12,-0.17,0.04,0.10,0.03,0.01,0.16,-0.07,-0.10,-0.12,0.09,-0.04,0.08,0.05,0.02,0.10,-0.17
11/05/2023,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,-0.04,-0.13,0.04,0.12,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00
12/05/2023,-0.12,-0.05,0.03,0.14,-0.10,-0.03,-0.03,0.17,0.09,0.03,0.05,-0.17,-0.15,-0.01,0.14,0.03,0.05,0.09,0.03,-0.17,-0.08,-0.08,0.02,0.15
13/05/2023,0.09,0.04,0.04,-0.17,-0.08,-0.02,-0.07,0.17,-0.12,-0.04,0.00,0.17,0.00,1.00,0.00,1.00,0.00,0.00,0.00,-1.00,0.00,0.00,-1.00,0.00
14/05/2023,-0.06,0.09,0.08,-0.10,-0.14,0.17,-0.02,-0.01,1.00,0.00,-1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00
15/05/2023,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16/05/2023,0.10,-0.05,-0.12,0.07,-0.06,-0.03,-0.07,0.17,-0.07,0.09,0.08,-0.10,0.00,0.12,0.05,-0.16,-0.04,0.06,0.11,-0.13,0.13,-0.09,0.03,-0.08
17/05/2023,0.14,0.00,0.03,-0.16,-0.05,0.13,0.04,-0.12,0.07,-0.06,-0.11,0.09,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00
18/05/2023,-0.16,0.00,0.05,0.12,0.00,-0.17,0.13,0.04,0.06,-0.05,-0.11,0.11,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00
19/05/2023,0.08,0.09,-0.09,-0.08,0.04,0.12,-0.17,0.01,-0.09,-0.07,0.09,0.08,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00
20/05/2023,0.11,0.05,-0.17,0.01,0.03,0.13,-0.01,-0.16,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00
21/05/2023,0.03,-0.03,-0.13,0.13,-0.06,0.03,-0.11,0.14,-0.11,-0.03,0.17,-0.03,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00
22/05/2023,0.00,0.00,0.00,1.00,1.00,0.00,-1.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,-0.17,0.00,0.00,0.00,0.00
23/05/2023,-0.05,-0.05,-0.07,0.17,0.03,0.13,-0.12,-0.05,-0.10,0.07,-0.07,0.10,0.00,0.00,0.00,1.00,1.00,0.00,0.00,-1.00,0.00,0.00,-1.00,0.00
24/05/2023,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00
25/05/2023,-0.08,-0.07,-0.02,0.17,-0.01,0.17,-0.04,-0.12,-0.12,0.12,0.05,-0.04,-0.01,-0.09,-0.07,0.17,0.09,0.05,-0.17,0.03,0.08,0.03,0.06,-0.17
26/05/2023,0.02,-0.11,-0.06,0.14,0.09,0.08,-0.14,-0.03,0.06,-0.12,0.11,-0.04,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00
27/05/2023,0.03,0.12,-0.17,0.01,0.02,-0.03,-0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00,0.00
28/05/2023,0.12,-0.13,0.05,-0.04,0.08,0.08,-0.06,-0.11,-0.02,0.10,0.07,-0.15,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00
29/05/2023,0.00,0.00,0.00,0.00,-0.04,-0.05,-0.08,0.17,-0.05,0.06,-0.12,0.11,0.00,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0.00,0.00,-1.00,0.00
30/05/2023,-0.06,-0.06,-0.04,0.17,0.05,0.06,0.07,-0.17,0.14,-0.07,-0.10,0.02,-0.03,0.08,0.08,-0.14,-0.07,-0.07,-0.02,0.17,-0.04,0.17,-0.07,-0.06
31/05/2023,0.10,0.06,-0.04,-0.13,0.01,-0.11,-0.06,0.16,-0.09,0.03,-0.07,0.13,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00
01/06/2023,0.06,0.00,-0.16,0.11,0.03,-0.04,-0.13,0.14,-0.04,0.07,0.10,-0.13,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00,0.00
02/06/2023,0.09,0.02,0.06,-0.17,-0.07,-0.07,-0.03,0.17,1.00,-1.00,0.00,0.00,0.00,0.00,1.00,0.00,-0.01,0.04,-0.16,0.12,0.00,-1.00,0.00,0.00
03/06/2023,-0.10,-0.06,-0.01,0.17,-0.09,0.08,0.09,-0.08,-0.02,0.09,0.07,-0.14,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,-1.00,0.00
04/06/2023,0.10,0.03,0.04,-0.17,0.08,0.08,-0.14,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00,0.00
05/06/2023,0.08,0.09,-0.06,-0.11,-0.01,-0.06,-0.10,0.17,-0.05,-0.01,-0.11,0.17,0.01,0.16,-0.17,0.00,0.11,-0.07,0.06,-0.10,0.07,0.03,0.07,-0.17
06/06/2023,0.09,-0.07,0.08,-0.09,0.00,0.00,1.00,0.00,-1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00
07/06/2023,0.06,0.11,0.00,-0.17,0.08,-0.09,-0.08,0.08,0.00,0.10,0.06,-0.17,0.02,0.15,-0.06,-0.11,0.01,0.07,0.09,-0.17,-0.11,-0.05,0.12,0.05
08/06/2023,0.09,0.07,-0.04,-0.13,-0.01,0.08,0.09,-0.16,0.15,-0.02,0.01,-0.14,0.06,-0.02,0.11,-0.15,-0.02,-0.07,-0.07,0.17,-0.03,-0.14,0.08,0.09
09/06/2023,-0.06,-0.10,0.11,0.06,0.06,-0.03,0.10,-0.13,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,-1.00,0.00,0.00,-1.00,0.00
10/06/2023,0.01,-0.11,-0.06,0.16,-0.09,-0.08,0.11,0.05,-0.01,0.13,-0.15,0.04,-0.03,0.09,-0.14,0.07,0.02,0.06,0.09,-0.17,-0.08,-0.08,0.07,0.09
11/06/2023,0.06,-0.15,0.11,-0.02,0.11,-0.13,-0.04,0.06,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00
12/06/2023,-0.12,-0.05,0.09,0.07,-0.04,0.11,-0.12,0.06,-0.06,-0.11,0.07,0.09,-0.12,-0.04,0.10,0.07,-0.15,-0.02,0.13,0.04,-0.04,0.07,0.10,-0.12
13/06/2023,0.09,-0.04,-0.12,0.08,-0.08,-0.09,0.13,0.04,-0.12,-0.04,0.00,0.17,0.09,0.07,-0.09,-0.08,0.00,0.05,0.11,-0.17,0.03,-0.08,-0.08,0.14
14/06/2023,-0.01,0.06,0.10,-0.16,0.06,0.06,0.05,-0.17,-0.13,-0.04,0.02,0.14,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00
15/06/2023,0.11,0.05,-0.02,-0.15,0.03,-0.08,-0.08,0.14,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00
16/06/2023,-0.12,-0.04,0.02,0.14,-0.15,-0.02,0.16,0.00,0.03,0.12,0.01,-0.17,0.00,1.00,1.00,0.00,0.06,0.09,0.02,-0.17,0.00,-1.00,-1.00,0.00
17/06/2023,-0.10,0.08,-0.07,0.09,-0.07,0.08,0.09,-0.10,-0.14,0.14,0.02,-0.02,0.00,1.00,0.00,1.00,-0.07,0.09,-0.09,0.08,-1.00,0.00,-1.00,0.00
18/06/2023,0.01,0.07,0.08,-0.17,-0.09,0.10,0.07,-0.08,0.08,0.08,-0.04,-0.13,0.17,-0.09,-0.06,-0.02,0.00,0.08,-0.17,0.08,-0.17,0.03,0.04,0.09
19/06/2023,0.09,-0.03,0.07,-0.14,0.17,0.00,-0.14,-0.02,0.05,0.05,0.06,-0.17,0.08,0.07,0.02,-0.17,0.09,-0.04,-0.13,0.07,-0.01,-0.08,-0.07,0.17
20/06/2023,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.03,0.06,0.07,-0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00
21/06/2023,-0.15,0.14,0.02,-0.01,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00,0.00
22/06/2023,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,-1.00,0.00
23/06/2023,0.08,0.01,0.08,-0.17,-0.13,0.14,-0.03,0.03,0.05,-0.10,-0.06,0.12,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00
24/06/2023,0.05,-0.06,-0.11,0.12,-0.07,-0.07,-0.03,0.17,-0.07,-0.06,-0.04,0.17,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00
25/06/2023,-0.11,-0.06,0.07,0.09,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00
26/06/2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00
27/06/2023,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00
28/06/2023,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00
29/06/2023,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00
30/06/2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00
01/07/2023,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.13,0.03,-0.17,0.00,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,-1.00,0.00
02/07/2023,-0.11,0.07,0.10,-0.06,0.07,0.10,-0.08,-0.09,-0.13,0.14,0.03,-0.04,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00
